Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",27.885000,24.410000,270.000000,top
"C2","0.1uF","C_0603_1608Metric",27.890000,17.650000,270.000000,top
"C3","0.1uF","C_0603_1608Metric",27.890000,10.925000,270.000000,top
"C4","0.1uF","C_0603_1608Metric",27.885000,4.160000,270.000000,top
"C5","0.1uF","C_0603_1608Metric",27.885000,-2.590000,270.000000,top
"C6","0.1uF","C_0603_1608Metric",27.895000,-9.340000,270.000000,top
"C7","0.1uF","C_0603_1608Metric",27.885000,-16.080000,270.000000,top
"C8","0.1uF","C_0603_1608Metric",27.885000,-22.840000,270.000000,top
"D1","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,23.625000,0.000000,top
"D2","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,23.625000,0.000000,top
"D3","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,23.625000,0.000000,top
"D4","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,23.625000,0.000000,top
"D5","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,23.625000,0.000000,top
"D6","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,23.625000,0.000000,top
"D7","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,23.625000,0.000000,top
"D8","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,23.625000,0.000000,top
"D9","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,16.875000,0.000000,top
"D10","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,16.875000,0.000000,top
"D11","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,16.875000,0.000000,top
"D12","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,16.875000,0.000000,top
"D13","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,16.875000,0.000000,top
"D14","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,16.875000,0.000000,top
"D15","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,16.875000,0.000000,top
"D16","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,16.875000,0.000000,top
"D17","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,10.125000,0.000000,top
"D18","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,10.125000,0.000000,top
"D19","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,10.125000,0.000000,top
"D20","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,10.125000,0.000000,top
"D21","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,10.125000,0.000000,top
"D22","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,10.125000,0.000000,top
"D23","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,10.125000,0.000000,top
"D24","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,10.125000,0.000000,top
"D25","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,3.375000,0.000000,top
"D26","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,3.375000,0.000000,top
"D27","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,3.375000,0.000000,top
"D28","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,3.375000,0.000000,top
"D29","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,3.375000,0.000000,top
"D30","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,3.375000,0.000000,top
"D31","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,3.375000,0.000000,top
"D32","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,3.375000,0.000000,top
"D33","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,-3.375000,0.000000,top
"D34","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,-3.375000,0.000000,top
"D35","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,-3.375000,0.000000,top
"D36","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,-3.375000,0.000000,top
"D37","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,-3.375000,0.000000,top
"D38","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,-3.375000,0.000000,top
"D39","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,-3.375000,0.000000,top
"D40","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,-3.375000,0.000000,top
"D41","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,-10.125000,0.000000,top
"D42","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,-10.125000,0.000000,top
"D43","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,-10.125000,0.000000,top
"D44","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,-10.125000,0.000000,top
"D45","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,-10.125000,0.000000,top
"D46","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,-10.125000,0.000000,top
"D47","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,-10.125000,0.000000,top
"D48","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,-10.125000,0.000000,top
"D49","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,-16.875000,0.000000,top
"D50","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,-16.875000,0.000000,top
"D51","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,-16.875000,0.000000,top
"D52","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,-16.875000,0.000000,top
"D53","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,-16.875000,0.000000,top
"D54","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,-16.875000,0.000000,top
"D55","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,-16.875000,0.000000,top
"D56","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,-16.875000,0.000000,top
"D57","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-23.625000,-23.625000,0.000000,top
"D58","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-16.875000,-23.625000,0.000000,top
"D59","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-10.125000,-23.625000,0.000000,top
"D60","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",-3.375000,-23.625000,0.000000,top
"D61","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",3.375000,-23.625000,0.000000,top
"D62","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",10.125000,-23.625000,0.000000,top
"D63","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",16.875000,-23.625000,0.000000,top
"D64","WS2813","LED_WS2813_PLCC6_5.0x5.0mm_P1.6mm_Core64_Abg_Mod",23.625000,-23.625000,0.000000,top
